time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter
702,0,0,0,0.1912507665950997,0.15062538329754985,9.655201520270285,0.07110999459300486
703,0,0,0,0.1916975571071406,0.15084877855357032,9.662020841398983,0.08238909171654929
704,0,0,0,0.19453456150868917,0.1522672807543446,9.704485298711656,0.08449322010294323
705,0,0,0,0.19609350587575408,0.15304675293787706,9.72934161866384,0.08290452319490539
706,0,0,0,0.19524417323465892,0.15262208661732946,9.719969455256912,0.07591067879035823
707,0,0,0,0.19224927275492676,0.15112463637746337,9.672691895098161,0.06695589474351021
708,0,0,0,0.19568137153593218,0.15284068576796608,9.722931315452547,0.0512571369782178
709,0,0,0,0.19487177434275338,0.1524358871713767,9.713369646865043,0.028196964076686863
710,0,0,0,0.19209788169594277,0.15104894084797138,9.668503548505416,0.026404436320569647
711,0,0,0,0.19356359922836608,0.15178179961418306,9.689086294575779,0.026270231281182065
712,0,0,0,0.1912549724655735,0.15062748623278674,9.65040571480447,0.027003313875546567
713,0,0,0,0.19117962565213273,0.15058981282606637,9.64888442846637,0.028754790267608195
714,0,0,0,0.1933872226479761,0.15169361132398806,9.68472266467673,0.028504548685050236
715,0,0,0,0.19211284344151977,0.1510564217207599,9.67189525113047,0.025639871518570594
716,0,0,0,0.190384766500301,0.1501923832501505,9.650202657480214,0.024433739827828673
717,0,0,0,0.19106114106535182,0.1505305705326759,9.665742798848374,0.024651887551799638
718,0,0,0,0.1936382636192875,0.15181913180964376,9.699027246064931,0.02091693898539855
719,0,0,0,0.1929923553989517,0.15149617769947588,9.68928594799791,0.017348590819401922
720,0,0,0,0.19797937022870432,0.15398968511435215,9.764051545149126,0.0325590651602395
721,0,0,0,0.1972113297766372,0.1536056648883186,9.750664441702668,0.038689519375680284
722,0,0,0,0.19580473592235637,0.15290236796117818,9.730649419164848,0.038487209359349135
723,0,0,0,0.19550626199358256,0.15275313099679128,9.72813857306244,0.03615908224181521
724,0,0,0,0.1993155076999892,0.1546577538499946,9.787567838546595,0.04329507367894042
725,0,0,0,0.20082298569573084,0.15541149284786543,9.811957158803663,0.04968240085562055
726,0,0,0,0.19811245413881287,0.15405622706940644,9.769557420612617,0.04358691688574266
727,0,0,0,0.1973963704509049,0.15369818522545245,9.760163827933543,0.036142100099377544
728,0,0,0,0.19661836935556837,0.1533091846777842,9.750870173982971,0.032076378134047685
729,0,0,0,0.19860672234583138,0.1543033611729157,9.779262767853023,0.024243258181648113
730,0,0,0,0.1986527987275773,0.15432639936378867,9.776121410869294,0.024549731761299657
731,0,0,0,0.19812713391158024,0.15406356695579013,9.762938697206383,0.024130805730137626
732,0,0,0,0.19500363329032838,0.1525018166451642,9.72338762853677,0.02525828212117704
733,0,0,0,0.19506559372966656,0.1525327968648333,9.72417418206027,0.02585767154201851
734,0,0,0,0.1943812777964305,0.15219063889821527,9.71464248996286,0.028500225381122398
735,0,0,0,0.19476538059144397,0.152382690295722,9.720554478704525,0.02377266643687102
736,0,0,0,0.1946678557173456,0.1523339278586728,9.721144032140755,0.023853158229853635
737,0,0,0,0.19257900247259724,0.1512895012362986,9.691267598673555,0.027643485583425
738,0,0,0,0.19408430507992708,0.15204215253996356,9.71413432887893,0.02792080818639645
739,0,0,0,0.19390934259880033,0.15195467129940016,9.709710036239642,0.023835130794364816
740,0,0,0,0.19274451720275143,0.15137225860137574,9.691796864698858,0.018961285318230044
741,0,0,0,0.1932643303803384,0.15163216519016923,9.699113298706923,0.01202239075215596
742,0,0,0,0.1956241574747576,0.1528120787373788,9.735439088591777,0.013692522248828177
743,0,0,0,0.19389542104055302,0.15194771052027653,9.706247332295932,0.013170736723280379
744,0,0,0,0.19707300147542,0.15353650073771002,9.756046128219703,0.019048403953400586
745,0,0,0,0.19390479939387967,0.15195239969693985,9.70629746185831,0.019078804516358953
746,0,0,0,0.19682351521910485,0.15341175760955242,9.746345600072061,0.021485042765454952
747,0,0,0,0.19374649162355145,0.15187324581177575,9.70104073781322,0.020556381326387384
748,0,0,0,0.1956394476668356,0.15281972383341783,9.729385249770814,0.020878819276270173
749,0,0,0,0.1936509973739721,0.15182549868698608,9.698151045817006,0.021620440123350335
750,0,0,0,0.19506487737865613,0.1525324386893281,9.719352753068964,0.019923842805108977
751,0,0,0,0.19719588397406876,0.1535979419870344,9.746431883427407,0.020081108470939708
752,0,0,0,0.19661991387593125,0.15330995693796565,9.739834131027152,0.0203624172971737
753,0,0,0,0.19536307773423334,0.15268153886711666,9.722722707169918,0.019430695201873658
754,0,0,0,0.19722437478533336,0.1536121873926667,9.751525275269508,0.018781148850805923
755,0,0,0,0.1981928002618381,0.15409640013091908,9.767963964314443,0.021228329353014087
756,0,0,0,0.19933766627370958,0.15466883313685478,9.786838904245654,0.02668643784913241
757,0,0,0,0.1992597263103384,0.1546298631551692,9.784795233295414,0.02743103815085485
