time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter,energy_consumption,reactive_migrations,proactive_migrations
399,0,0,0,0.3323404307464764,0.2626383015225335,9.524494042487245,0.42081660740848903,599.4042584478858,0,0
400,0,0,0,0.35435539435700636,0.27804877604990447,9.670923299934746,0.4169114786734756,612.6132366142037,0,0
401,0,0,0,0.3435232915197104,0.2704663040637973,9.583171482532531,0.42619201861177153,606.1139749118263,0,0
402,0,0,0,0.304119628095257,0.24288373966667992,9.29163747776026,0.41609161325551075,582.4717768571543,0,0
403,0,0,0,0.3647993038878183,0.2853595127214728,9.709817517125396,0.31363713840084234,618.8795823326909,0,0
404,0,0,0,0.3569474945832022,0.27986324620824155,9.640596254635051,0.205844926659945,614.1684967499214,0,0
405,0,0,0,0.37945742384868636,0.29562019669408046,9.786168751746118,0.1773776166420174,627.6744543092118,0,0
406,0,0,0,0.3817609059442618,0.2972326341609832,9.787557120053913,0.18434892248924684,629.0565435665571,0,0
407,0,0,0,0.4528788757518859,0.3470152130263201,10.276869062584328,0.24027566423481428,671.7273254511315,0,0
408,0,0,0,0.3937637044378045,0.3056345931064631,9.840928081892375,0.2412786196637398,636.2582226626827,0,0
409,0,0,0,0.39861699218039254,0.3090318945262748,9.858629565057248,0.23618944335502612,639.1701953082355,0,0
410,0,0,0,0.4334502365771873,0.33341516560403106,10.088721276691638,0.2556101057306583,660.0701419463123,0,0
411,0,0,0,0.38296141710192316,0.29807299197134624,9.712626847595187,0.24815872727852373,629.7768502611539,0,0
412,0,0,0,0.38436654647593055,0.29905658253315137,9.704649521219118,0.18707258705198293,630.6199278855584,0,0
413,0,0,0,0.418904290396065,0.3232330032772456,9.93165467924006,0.1833581820450301,651.342574237639,0,0
414,0,0,0,0.4255284016198284,0.3278698811338799,9.960285843931208,0.16914059885493843,655.3170409718971,0,0
415,0,0,0,0.49736958319246005,0.37815870823472203,10.451843623406258,0.23243448251368892,698.4217499154761,0,0
416,0,0,0,0.4548554750238115,0.3483988325166681,10.131437329731082,0.22959529458618927,672.9132850142869,0,0
417,0,0,0,0.42201092940322715,0.325407650582259,9.879716646710595,0.2111431703843442,653.2065576419362,0,0
418,0,0,0,0.4745669020932076,0.36219683146524534,10.234444467638323,0.2223915041590005,684.7401412559245,0,0
